番号,住所,ホール名,状態
85,東京都江戸川区中葛西3-35-6,将軍 葛西店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
86,東京都江戸川区北小岩6-14-5第15平沼ビル,平沼プラザ2 小岩店,休業(～2020/05/26)、再開(2020/05/27～)
87,東京都江戸川区平井4-8-3,夢らんど 平井店,休業(2020/04/13～2020/05/26)、再開(2020/05/27～)
88,東京都江東区東陽3-6-12,(S)スロットM 東陽町店,休業(2020/04/11～2020/05/29)、再開(2020/05/30～)
89,東京都江東区東陽3-10-9,(S)プリマクラブ 東陽町店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
90,東京都江東区大島5-45-7五分利屋ビル,(S)プリマクラブX 大島店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
91,東京都江東区東雲1-6-13ウェアハウス東雲ビル1F,123+N 東雲店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
92,東京都江東区門前仲町2-3-4ミナミビル,M.FACTORY 門前仲町店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
93,東京都江東区森下2-2-8朝日ビル,アサヒ 森下店,休業(2020/04/25～)、再開
94,東京都江東区住吉2-3-8,アップル 住吉店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
95,東京都江東区北砂3-33-19,アップル 北砂店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
96,東京都江東区亀戸3-38-13,ガーデン 亀戸店,休業(2020/04/28～2020/05/06、2020/05/12～2020/05/13)、再開(2020/05/14～)
97,東京都江東区大島5-9-7,ガイア 大島店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
98,東京都江東区東雲1-10-25,グランドシップ 東雲店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
99,東京都江東区大島7-22-18扶桑大島ビル,サークル 大島店,休業(2020/04/08～2020/05/30)、再開(2020/05/31～)
100,東京都江東区亀戸6-62-8,サントク 亀戸東口店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
101,東京都江東区大島6-10-15,シップ 大島店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
102,東京都江東区亀戸5-2-5山形屋ビル,スターダスト 亀戸店,休業(2020/04/25～2020/05/06、2020/05/13～2020/05/25)、再開(2020/05/26～)
103,東京都江東区門前仲町2-3-1,スターダスト 門前仲町店,休業(2020/04/25～2020/05/06、2020/05/13～2020/05/25)、再開(2020/05/26～)
104,東京都江東区亀戸2-22-14,スパークル 亀戸店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
105,東京都江東区東陽4-1-20皆進ビル,ダイコクサン 東陽町店,休業(2020/04/25～)、再開
106,東京都江東区北砂3-30-1,ダイナム 砂町銀座店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
107,東京都江東区東陽3-6-9,トーヨーホール 東陽町店,休業(～2020/05/26)、再開(2020/05/27～)
108,東京都江東区大島5-35-3,バンビー 大島店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
109,東京都江東区富岡1-8-17,バンビー 門前仲町店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
110,東京都江東区東陽2-2-1福島ビル,パーラーメッセ 東陽町店,休業(2020/04/08～2020/05/06)、再開
111,東京都江東区北砂7-3-11,パトリオットM 北砂店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
112,東京都江東区豊洲5-2-11,マリックス寿 豊洲店,閉店(～2020/04)
113,東京都江東区森下1-12-5森下ビル,三栄ホール 森下店,休業(2020/04/22～2020/05/25)、再開(2020/05/26～)
114,東京都江東区亀戸2-27-12三徳ビル,三徳ホール 本店,休業(2020/04/22～2020/05/25)、再開(2020/05/26～)
115,東京都港区新橋3-20-1東和J'sビル,UNO 新橋店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
116,東京都港区芝5-23-11,アルファファイブ 田町店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
117,東京都港区芝浦3-12-181F,エイト 芝浦店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
118,東京都港区新橋2-18-2新橋東口B＆Vビル,エスタディオ 新橋店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
119,東京都港区赤坂3-9-6日拓赤坂見附駅前ビル,エスパス日拓 赤坂見附駅前新館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
120,東京都港区高輪3-26-33秀和ビル,ゴードン 品川店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
121,東京都港区高輪4-10-20,スーパーハリウッド 品川店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
122,東京都港区芝5-34-7田町センタービル,トップ 田町店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
123,東京都港区新橋3-17-21F,トップス 新橋店,休業(2020/04/24～2020/05/26)、再開(2020/05/27～)
124,東京都港区麻布十番2-19-4,ニューマツヤ 麻布店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
125,東京都港区麻布十番2-20-5,バンカー 麻布十番店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
126,東京都港区新橋3-12-3,ビッグディッパー 新橋1号店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
127,東京都港区新橋2-8-12ミクニ新橋第2ビル,ビッグディッパー 新橋2号店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
128,東京都港区芝5-22-5①,ピーアーク 三田店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
129,東京都港区六本木7-15-13ミナミビル,ミナミ 六本木店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
