番号,住所,ホール名,状態
433,東京都中野区野方5-18-12(旧)長崎屋,コンサートホール 野方店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
434,東京都中野区野方5-32-3,サンラッキー 野方店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
435,東京都中野区中央5-1-1オスロー新中野ビル,スーパーセブン 新中野店,休業(2020/04/09～2020/05/29)、再開(2020/05/30～)
436,東京都中野区沼袋3-27-12並木ビル,デラックス7 沼袋店,休業(2020/04/23～2020/05/06)、再開(2020/05/11～2020/05/20)、再開(2020/05/21～)
437,東京都中野区中野5-60-7タイガープラザ1F①,ニラク 中野サンモール店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
438,東京都中野区中野5-61-4,ニラク 中野店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
439,東京都中野区新井5-26-6,ビーム 新井薬師店,休業(2020/04/10～2020/05/25)、再開(2020/05/26～)
440,東京都中野区東中野5-3-3第10東京ビル,フルハウス 東中野店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
441,東京都中野区東中野4-4-8,ホワイト 東中野店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
442,東京都中野区中野2-26-11,マックス 中野店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
443,東京都中野区中野5-61-1ライオンズプラザ中野,国際センター 中野店,休業(2020/04/18～2020/05/26)、再開(2020/05/27～)
444,東京都中野区鷺宮4-2-19,新世界 鷺宮店,休業(2020/04/18～2020/05/26)、再開(2020/05/27～)
445,東京都町田市山崎町132-1,A-1 町田店,休業(2020/04/10～2020/05/26)、再開(2020/05/27～)
446,東京都町田市鶴間3-2-3,MQリゾート 南町田店,閉店(～2020/04/09)
447,東京都町田市原町田6-19-15エトセトラプランビル,エルグラン 町田店,休業(2020/04/10～2020/05/25)、再開(2020/05/26～)
448,東京都町田市森野1-39-1グランドゥール,オリエンタル・パサージュ 町田店,休業(2020/04/23～2020/05/19)、再開(2020/05/20～)
449,東京都町田市南成瀬1-3-5相鉄ローゼンB1,ジャンジャン P-2 成瀬店,休業(2020/04/25～2020/05/20)、再開(2020/05/21～)
450,東京都町田市能ヶ谷1-5-8鶴川インペリアルビル,ダイア 鶴川店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
451,東京都町田市旭町1-7-2,チャレンジャー 町田店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
452,東京都町田市野津田町1911F,チャレンジャー 野津田店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
453,東京都町田市森野3-18-21,バンブー 町田店,休業(2020/04/23～2020/05/20)、再開(2020/05/21～)
454,東京都町田市原町田4-5-7田光ビル,パールショップ ともえ 町田609店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
455,東京都町田市小川町7-2-1,パンドラ 町田店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
456,東京都町田市原町田6-10-9MIAビル,ピア 町田店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
457,東京都町田市金森4-1-1,玉屋光助 町田店,休業(2020/04/27～2020/05/08)、再開(2020/05/09～)
458,東京都町田市小野路町2428,出玉王 福助 町田店,閉店(～2020/04/12)
459,東京都調布市仙川町3-1-4,(S)ゾロン 仙川店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
460,東京都調布市布田4-2-4CFビル,(S)メガガイア 調布スロットタワー,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
461,東京都調布市国領町3-1-38ココスクエア1F,MGM 国領店,休業(2020/04/23～2020/05/26)、再開(2020/05/27～)
462,東京都調布市仙川町2-21-21,UNO 仙川店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
463,東京都調布市小島町1-37-16調布パルコAパーキングビル1F,コンサートホール 調布店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
464,東京都調布市小島町1-13-6,マルゼン 調布店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
465,東京都調布市布田4-2-3ガイアビル,メガガイア 調布パチンコタワー,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
466,東京都調布市西つつじケ丘3-33-11つつじケ丘会館,ワールド つつじケ丘店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
467,東京都調布市菊野台1-33-22,調布センター,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
468,東京都東久留米市氷川台1-11-26,オータ 東久留米店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
469,東京都東久留米市八幡町1-3-19オザムビル,トワーズ 東久留米店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
470,東京都東久留米市本町1-1-26メゾン東久留米,パチンコ大学 東久留米店,休業(2020/04/14～2020/05/27)、再開(2020/05/28～)
471,東京都東久留米市前沢3-13-8,一番舘 東久留米店,休業(2020/04/13～2020/05/20)、再開(2020/05/21～)
472,東京都東村山市本町2-18-10,(S)パーラー毎日 東村山店 スロット館,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
473,東京都東村山市秋津町5-13-18,D-FLY 秋津店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
474,東京都東村山市栄町2-20-5當麻ビル,オゼック 久米川店,休業(～2020/05/25)、再開(2020/05/26～)
475,東京都東村山市本町2-6-1,ダイナム 東村山店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
476,東京都東村山市秋津町2-22-5第一建築ビル,トワーズ 東村山店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
477,東京都東村山市本町2-18-13,パーラー毎日 東村山店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
478,東京都東村山市栄町2-8-4,パチンコ大学 久米川店 A館,休業(2020/04/13～2020/05/27)、再開(2020/05/28～)
479,東京都東村山市栄町2-8-23久米川国際センタービル,パチンコ大学 久米川店 B館,休業(2020/04/13～2020/05/27)、再開(2020/05/28～)
480,東京都東村山市秋津町5-13-14,ファイン 秋津店,閉店(～2020/04/07)
481,東京都東村山市恩多町1-19-1(旧)国分首都圏(株),メガガイア 東村山店,休業(2020/04/27～2020/05/08)、再開(2020/05/09～)
482,東京都東大和市清水6-1253-1タマレークメゾン1F,Z 東大和店,休業(2020/04/11～2020/06/01)、再開(2020/06/02～)
483,東京都東大和市上北台1-1-4,ニラク 上北台店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
484,東京都東大和市立野4-482-3,ニラク 東大和店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
485,東京都東大和市立野4-486,ビーム 東大和店,休業(2020/04/26～2020/05/21)、再開(2020/05/22～)
486,東京都東大和市桜が丘2-139-1,マルハン 東大和店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
487,東京都日野市高幡1009-1,RAMO 高幡不動店,休業(2020/04/08～2020/05/31)、再開(2020/06/01～)
488,東京都日野市多摩平2-3-12中央白石ビル,アイオン 豊田店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
489,東京都日野市多摩平2-2-2,キング会館 日野店,休業(2020/04/25～2020/05/15)、再開(2020/05/16～)
490,東京都日野市栄町1-1-1,ジャンボ 日野店,休業(2020/04/25～2020/05/31)、再開(2020/06/01～)
491,東京都日野市栄町5-23-9,マルハン 日野店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
492,東京都八王子市石川町2975-1,(S)SAP 日野店 スロット館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
493,東京都八王子市長房町450-2,(S)ジャスティス 八王子店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
494,東京都八王子市千人町2-19-6,(S)スロット ドットコム 八王子店,休業、再開
495,東京都八王子市旭町2-5八王子ツインタワーA館,(S)ピア 八王子店 スロット館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
496,東京都八王子市大和田町7-19-7,A3 八王子店,休業(～2020/05/25)、再開(2020/05/26～)
497,東京都八王子市北野町588-1,D'ステーション 八王子北野店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
498,東京都八王子市石川町2974-13,SAP 日野店 パチンコ館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
499,東京都八王子市北野町546-15鈴木ビル,SAP 北野アネックス店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
500,東京都八王子市打越町333-2TK北野ビル,SAP 北野店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
501,東京都八王子市川町25,オークラ 八王子店,休業(～2020/05/25)、再開(2020/05/26～)
502,東京都八王子市左入町791-6,ガーデン 八王子インター店,休業(2020/04/28～2020/05/06、2020/05/12～2020/05/13)、再開(2020/05/14～)
503,東京都八王子市楢原町497-1,ガリレオ 八王子店,休業(2020/04/28～2020/05/06)、再開(2020/05/07～)
504,東京都八王子市東町11-4光ビルA,コスミック 八王子2号店,休業(2020/04/11～2020/05/06、2020/05/10～2020/05/25)、再開(2020/05/26～)
505,東京都八王子市中町2-1グランド東京ビル,コスミック 八王子店,休業(2020/04/11～2020/05/06、2020/05/10～2020/05/25)、再開(2020/05/26～)
506,東京都八王子市南大沢2-30サザンウインズ B1,ジアス 南大沢店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
507,東京都八王子市台町4-47-4,スーパーセブン 西八王子店,休業(2020/04/09～2020/05/29)、再開(2020/05/30～)
508,東京都八王子市四谷町506-1,スコーピオン 四谷店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
509,東京都八王子市台町4-47-14,スマイル 西八王子店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
510,東京都八王子市大塚552,チャレンジャー 多摩大塚店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
511,東京都八王子市堀之内3-34-7光栄ビル,デルパラ7 堀之内店,休業(2020/04/27～2020/05/08)、再開(2020/05/09～)
512,東京都八王子市叶谷町956-8,トワーズ 叶谷店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
513,東京都八王子市東浅川町505,トワーズ 西八店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
514,東京都八王子市楢原町1511-1,トワーズ 楢原店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
515,東京都八王子市四谷町1910-3,トワーズ 八王子四谷店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
516,東京都八王子市千人町2-20-7,ドットコム 八王子店,休業、再開
517,東京都八王子市東町12-13徳寿ビル,ナポレオン 八王子店,休業(2020/04/24～2020/05/15)、再開(2020/05/16～)
518,東京都八王子市北野町584-25,パチンコ多摩2 八王子店,休業(2020/04/21～)、再開
519,東京都八王子市高倉町51-11,ビーム 高倉店,休業(2020/04/26～2020/05/21)、再開(2020/05/22～)
520,東京都八王子市旭町9-1八王子東急スクエアB1,ビーム 八王子店,休業(2020/04/26～2020/05/21)、再開(2020/05/22～)
521,東京都八王子市旭町5-1八王子ツインタワーB館,ピア 八王子店 パチンコ館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
522,東京都八王子市四谷町651,マルハン 八王子四谷店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
523,東京都八王子市東町13-2,ライオン 八王子店,休業(2020/04/28～2020/05/06)、再開(2020/05/07～)
524,東京都八王子市小宮町255,ライデン 小宮店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
525,東京都八王子市長房町446-28,将軍 八王子店,閉店(～2020/04/10)
526,東京都八丈町大賀郷6196-55②,(S)ウェーブ 八丈島店,不明
527,東京都八丈町三根196-3,シャトル 八丈島店,不明
528,東京都八丈町大賀郷6196-25①,スペース 八丈島店,不明
529,東京都板橋区大山東町19-5,(S)やすだ 大山北口5号店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
530,東京都板橋区仲宿60-12,(S)やすだ 仲宿店 スロット館,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
531,東京都板橋区成増2-12-7,(S)エクサ 成増店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
532,東京都板橋区大山東町21-5清田ビル,(S)オーシャン 大山スロット専門館,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
533,東京都板橋区成増2-18-12,(S)コンサートホール 成増スロット館,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
534,東京都板橋区成増2-19-10,(S)成増会館 スロット館,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
535,東京都板橋区高島平7-13-1,CASA7131 高島平店,休業(2020/04/12～2020/05/27)、再開(2020/05/28～)
536,東京都板橋区赤塚2-1-8あみだビル,DIOS 下赤塚店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
537,東京都板橋区清水町32-7清水町ビル,やすだ 清水町店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
538,東京都板橋区大山町26-8,やすだ 大山1号店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
539,東京都板橋区大山町27-8,やすだ 大山2号店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
540,東京都板橋区大山東町59-2丸菱ビル,やすだ 大山4号店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
541,東京都板橋区大山東町60-10コミネビル,やすだ 大山駅前店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
542,東京都板橋区仲宿60-15,やすだ 仲宿店 パチンコ館,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
543,東京都板橋区泉町6-10,アミュズワン 本蓮沼店,休業(2020/04/27～2020/05/31)、再開(2020/06/01～)
544,東京都板橋区志村3-7-14,エース 志村店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
545,東京都板橋区大山東町20-4,オーシャン 大山パチンコ専門館,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
546,東京都板橋区上板橋1-13-22,ガーデン 上板橋店,休業(2020/04/28～2020/05/06、2020/05/12～2020/05/13)、再開(2020/05/14～)
547,東京都板橋区南常盤台1-22-10,クラウン ときわ台店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
548,東京都板橋区三園2-5-24千歳ビル,グランドホール 西高島平店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
549,東京都板橋区高島平8-3-1,コトブキホール 高島平店,休業(2020/04/20～2020/05/24)、再開(2020/05/25～)
550,東京都板橋区志村1-35-11,コンサートホール 志村店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
551,東京都板橋区成増2-17-24,コンサートホール 成増パチンコ館,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
552,東京都板橋区高島平7-14-6,ゴールデンベル 高島平店,休業(2020/04/11～)、再開
553,東京都板橋区板橋1-16-6,サンエイト 板橋店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
554,東京都板橋区常盤台4-33-8,シード 上板橋店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
555,東京都板橋区高島平8-4-1,ジャンジャン 高島平駅前店,休業(2020/04/24～2020/05/25)、再開(2020/05/26～)
556,東京都板橋区常盤台4-31-1,タイヘイ 上板橋店,休業(2020/04/13～2020/05/27)、再開(2020/05/28～)
557,東京都板橋区南常盤台1-26-12幸和ビル,テキサス ときわ台店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
558,東京都板橋区板橋1-53-4,ニュースポーツ 板橋店,休業(2020/04/13～2020/05/29)、再開(2020/05/30～)
559,東京都板橋区高島平7-13-5,パチンコ大王 高島平店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
560,東京都板橋区志村3-7-16,パラッツォ 志村店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
561,東京都板橋区高島平1-79-3トミコシ会館,プラザ西台,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
562,東京都板橋区中板橋15-6,プレイショップ チューオー 中板橋店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
563,東京都板橋区常盤台4-34-1,ホワイトタイガー 上板橋店,休業(2020/04/13～2020/05/27)、再開(2020/05/28～)
564,東京都板橋区大山町39-1,マルハン 大山店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
565,東京都板橋区成増2-17-22,ミリオン 成増7号店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
566,東京都板橋区徳丸3-17-5,ワールド 東武練馬店,休業(2020/04/17～2020/05/27)、再開(2020/05/28～)
567,東京都板橋区大山町32-2佐竹大山ビル,楽園 大山店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
568,東京都板橋区赤塚新町1-21-9①,将軍 下赤塚店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
569,東京都板橋区舟渡1-5-7,新！ガーデン 板橋店,休業(2020/04/28～2020/05/06、2020/05/12～2020/05/13)、再開(2020/05/14～)
570,東京都板橋区成増2-19-4,成増会館,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
571,東京都板橋区成増3-11-3西友1F,成増会館3,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
572,東京都品川区上大崎2-15-20百万弗ビル,(S)CUBA 6th 目黒店,休業(2020/04/22～2020/05/25)、再開(2020/05/26～)
573,東京都品川区西五反田2-6-3東洋ビル,(S)ガイア 五反田スロット館,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
574,東京都品川区大崎3-6-12ニューオリンピアビル,D'ステーション 大崎店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
575,東京都品川区小山4-3-2マイキャッスル武蔵小山,DAS 小山店,休業、再開
576,東京都品川区上大崎2-27-6林ビル1F,MD 目黒店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
577,東京都品川区東五反田2-2-2,P-TREK マーメイド 五反田店,休業(2020/04/25～2020/05/06、2020/05/11～2020/05/14)、再開(2020/05/15～)
578,東京都品川区西五反田1-3-10東栄商事五反田駅前ビル,ことぶき 五反田店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
579,東京都品川区小山3-26-5ハイツ武蔵小山,エンゼル 本店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
580,東京都品川区小山3-25-3,エンゼルV 小山店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
581,東京都品川区南品川2-7-14,グランブルー 青物横丁店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
582,東京都品川区南品川3-1-20ホテル東横イン南品川青物横丁,グランポート 青物横丁店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
583,東京都品川区西五反田5-1-20アスベンプラザB1,サンラッキー 不動前店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
584,東京都品川区西五反田2-7-7日活ビル,ジャラン 五反田店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
585,東京都品川区大井1-15-2,デルフィール 大井町店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
586,東京都品川区東大井1-2-16,パーラーJ 鮫洲店,休業(2020/04/25～2020/05/14)、再開(2020/05/15～)
587,東京都品川区南大井1-6-10加藤ビル,パーラーJ 大井競馬場通り店,休業(2020/04/25～2020/05/14)、再開(2020/05/15～)
588,東京都品川区大井1-6-1,パーラーJ 大井町店,休業(2020/04/25～2020/05/14)、再開(2020/05/15～)
589,東京都品川区東大井5-15-4ゼムスビル,ビッグディッパー 大井町店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
590,東京都品川区平塚1-8-5①,フルハウス 戸越銀座店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
591,東京都品川区戸越6-6-6三栄第1ビル,フルハウス 戸越公園店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
592,東京都品川区東中延2-9-11第一商事ビル,フルハウス 中延店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
593,東京都品川区戸越6-23-19ミナトビル,ミナト 戸越店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
594,東京都品川区東大井5-13-1かんべ土地ビル,大井ニュー東京 東口店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
595,東京都品川区小山6-4-6シップス西小山,日の丸 西小山店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
596,東京都府中市府中町1-7-2高橋ビル2F,(S)チカサク2 府中店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
597,東京都府中市片町2-21-14分倍河原駅前ビル,ガイア 分倍河原店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
598,東京都府中市宮西町1-2-1,キコーナ 府中店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
599,東京都府中市西原町1-4-5,クリエ 府中西原店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
600,東京都府中市宮町1-50くるる府中1F,スパークル 府中店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
601,東京都府中市本町1-13-3(旧)イトーヨーカドー,スパークル2 府中本町駅前店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
602,東京都府中市府中町1-7-2高橋ビル1F、B1,チカサク 府中店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
603,東京都府中市住吉町2-2-6,ドキわくランド 中河原店,休業(2020/04/09～2020/05/28)、再開(2020/05/29～)
604,東京都府中市四谷5-36-8,ニューアサヒ 府中四谷店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
605,東京都府中市若松町1-3-5,パチンコ7 東府中店,休業(～2020/05/26)、再開(2020/05/27～)
606,東京都府中市西原町1-14-5丸福ビル,ビーム 府中西原店,休業(2020/04/26～2020/05/21)、再開(2020/05/22～)
607,東京都武蔵村山市三ツ藤1-90-1,(S)ビーム 武蔵村山店,休業(2020/04/26～2020/05/21)、再開(2020/05/22～)
608,東京都武蔵村山市伊奈平2-66,SAP 武蔵村山店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
609,東京都武蔵村山市伊奈平2-32-4,トワーズ 武蔵村山店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
610,東京都武蔵村山市伊奈平2-75-1,ニラク 武蔵村山伊奈平店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
611,東京都武蔵野市吉祥寺南町1-1-2大竹ビル,(S)グリンピース 吉祥寺店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
612,東京都武蔵野市吉祥寺南町2-3-16東亜会館,G-ONE 吉祥寺店,休業(～2020/05/25)、再開(2020/05/26～)
613,東京都武蔵野市境2-2-21サンセイビル,ジャンバリン 武蔵境店,閉店(～2020/04/20)
614,東京都武蔵野市境1-2-3後藤本社ビル,ダイナム 武蔵境店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
615,東京都武蔵野市中町1-13-7,テンガイ 三鷹店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
616,東京都武蔵野市吉祥寺本町1-24-7光ビル,パラッツォ 吉祥寺イースト店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
617,東京都武蔵野市吉祥寺本町1-3-7YSビル,パラッツォ 吉祥寺ウエスト店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
618,東京都武蔵野市吉祥寺本町1-8-4コスモビルB1,ベルファン 吉祥寺店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
619,東京都武蔵野市境1-2-22メッセ武蔵境ビル,メッセ 武蔵境店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
620,東京都福生市武蔵野台2-3-16,チャレンジャー 福生店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
621,東京都福生市熊川1396-2熊川ビル,チャレンジャー7 拝島店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
622,東京都文京区小石川1-11-13新香園ビル,(S)スプリングハート 小石川店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
623,東京都文京区関口1-1-6新星ビル,(S)ワイワイ2 江戸川橋店,休業(2020/04/25～2020/05/06)、再開
624,東京都豊島区東池袋1-11-11ホテル ホワイトシティ1F,(S)TOHO 池袋店,休業(2020/04/27～2020/05/08)、再開(2020/05/11～)
625,東京都豊島区南長崎5-27-8,(S)W 東長崎店,休業、再開
626,東京都豊島区東池袋1-42-4栃木屋本店ビル,(S)やすだ 東池袋9号店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
627,東京都豊島区西池袋1-36-1ジョイビル,(S)グリンピース 池袋西口店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
628,東京都豊島区東池袋1-39-8,(S)グリンピース 池袋東口店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
629,東京都豊島区東池袋1-43-6Dボックス1F①,(S)フォーション 池袋店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
630,東京都豊島区西池袋1-22-8,(S)甲子園 池袋店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
631,東京都豊島区要町3-37-5内田ビル,(S)龍龍ネクステージ 千川店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
632,東京都豊島区南池袋1-21-2ヒューマックスパビリオン,P-PORT プレゴEX 池袋南口店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
633,東京都豊島区要町1-2-17,TOHO 要町店,休業(2020/04/27～2020/05/08)、再開(2020/05/11～)
634,東京都豊島区南大塚1-52-4大塚レジャービル,ひょうたん島 大塚店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
635,東京都豊島区西池袋1-36-3,やすだ 西池袋6号店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
636,東京都豊島区東池袋1-42-2安田屋東口ビル,やすだ 東池袋7号店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
637,東京都豊島区北大塚2-15-10ジェンエイビル,ガイア 大塚北口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
638,東京都豊島区巣鴨1-15-1,クラブニューヨーク 巣鴨店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
639,東京都豊島区南大塚3-34-10,サンドラ 大塚店,休業(2020/04/25～2020/05/06、2020/05/13～2020/05/25)、再開(2020/05/26～)
640,東京都豊島区東池袋1-9-3,ジャパンニューアルファ 池袋店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
641,東京都豊島区駒込2-15-8,スポスポ 駒込店,休業(2020/04/22～2020/05/27)、再開(2020/05/28～)
642,東京都豊島区駒込1-29-4,スリーセブン 駒込店,休業(2020/04/22～2020/05/27)、再開(2020/05/28～)
643,東京都豊島区巣鴨2-4-13日東マンション,ニュー太平 巣鴨店,休業(2020/04/23～2020/05/27)、再開(2020/05/28～)
644,東京都豊島区長崎1-3-12,パール 椎名町店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
645,東京都豊島区要町3-44-2,パラッツォ 千川店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
646,東京都豊島区東池袋1-29-1,ピア 池袋店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
647,東京都豊島区西池袋3-30-13岸野ビル,フィーバー 池袋西口店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
648,東京都豊島区東池袋1-43-4マルハン池袋ビル,マルハン 池袋店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
649,東京都豊島区南長崎5-25-16,メデューサ 東長崎店,休業(2020/04/25～)、再開
650,東京都豊島区南池袋1-24-5,楽園 池袋店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
651,東京都豊島区西池袋1-36-4SIコンソートビル,甲子園パール 池袋店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
652,東京都豊島区巣鴨2-5-4巣鴨会館ビル,巣鴨会館,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
653,東京都豊島区西池袋1-28-6大和産業ビル1F,富士 池袋店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
654,東京都豊島区池袋2-8-1,遊大陸 池袋店,休業(2020/04/25～)、再開
655,東京都北区赤羽1-3-9リーエンタープライズビル,(S)ウイング 赤羽店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
656,東京都北区赤羽1-8-3,(S)マルシェ 赤羽店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
